"Slider.v1.0.20","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/Objects/Bartender/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Eli Travis Tile/Objects/Bartender/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Eli Travis Tile/Objects/Clubber (1)/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Eli Travis Tile/Objects/Clubber (1)/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Bruce/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Bruce/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Ike/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Ike/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Porker/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Porker/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Questboard/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Questboard/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice1/Dice Sprite/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice1/Dice Sprite/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice2/Dice Sprite/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice2/Dice Sprite/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/TavernKeep/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/TavernKeep/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Vanessa/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Vanessa/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/BirdNamedParty/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Jroo Elliot Tile/BirdNamedParty/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Jroo Elliot Tile/Crocodile/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Jroo Elliot Tile/Crocodile/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Jroo Elliot Tile/Objects/VIPHolder/VIP/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Jroo Elliot Tile/Objects/VIPHolder/VIP/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/Objects/Warning Sign/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Logan Tile/Objects/Warning Sign/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Fire Wizard Past/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Fire Wizard Past/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Lightning Wizard Past/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Lightning Wizard Past/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
